CODE;NAME;COUNTRY
HJ;Asian Express Airlines;Australia
XT;Air Exel;Netherlands
AK;AirAsia;Malaysia
3G;Atlant-Soyuz Airlines;Russia
AZ;Alitalia;Italy
ZE;Eastar Jet;South Korea
Z8;Amaszonas;Bolivia
UM;Air Zimbabwe;Zimbabwe
R7;Aserca Airlines;Venezuela
FV;Rossiya-Russian Airlines;Russia
RX;Rainbow Air Polynesia;United States
MQ;American Eagle Airlines;United States
FF;Fly France;France
ML;Maldivo Airlines;Maldives
VU;Air Ivoire;Ivory Coast
BP;Air Botswana;Botswana
GS;Grant Aviation;United States
VT;Air Tahiti;French Polynesia
3N;Air Urga;Ukraine
VL;Air VIA;Bulgaria
FK;Africa West;Togo
G2;Avirex;Gabon
V8;ATRAN Cargo Airlines;Russian Federation
VE;Volare Airlines;Italy
V5;Danube Wings (V5);Slovakia
CA;Air China;China
Q6;Aero Condor Peru;Peru
5F;Arctic Circle Air Service;United States
QC;Camair-co;Cameroon
NV;Naka Nihon Airlines Service;Japan
CV;Cargolux;Luxembourg
CW;Air Marshall Islands;Marshall Islands
ZA;Interavia Airlines;Russia
AH;Air Algerie;Algeria
ER;Fly Europa;Spain
HO;Juneyao Airlines;China
EN;Air Dolomiti;Italy
D9;Aeroflot-Don;Russia
NM;Mount Cook Airlines;New Zealand
EE;Nordica;Estonia
4F;Air City;Germany
EI;Aer Lingus;Ireland
E8;City Airways;Thailand
KY;KSY;Greece
PC;Pegasus Airlines;Turkey
OF;Transports et Travaux A;
FJ;Air Pacific;Fiji
RC;Atlantic Airways;Faroe Islands
QH;Kyrgyzstan;Kyrgyzstan
NY;Air Iceland;Iceland
2P;Air Philippines;Philippines
ZX;Japan Regio;Japan
2U;Air Guinee Express;Guinea
0A;Amber Air;Lithuania
DA;Dana Air;Nigeria
GL;Miami Air International;United States
LL;Allegro;Mexico
5Y;Atlas Air;United States
GG;Cargo 360;United States
H9;PEGASUS AIRLINES-;Turkey
IP;Island Spirit;Iceland
QK;Air Canada Jazz;Canada
KK;Atlasjet;Turkey
JS;Air Koryo;Democratic People's Republic of Korea
KC;Air Astana;Kazakhstan
LV;Albanian Airlines;Albania
D4;Alidaunia;Italy
CD;Air India Regional;India
XL;Aerolane;Ecuador
A6;Air Alps Aviation (A6);Austria
TD;Tulip Air;Netherland
L8;Line Blue;Germany
LK;Air Luxor;Portugal
MK;Air Mauritius;Mauritius
MD;Air Madagascar;Madagascar
9U;Air Moldova;Moldova
M0;Aero Mongolia;Mongolia
A7;Air Plus Comet;Spain
QO;Origin Pacific Airways;New Zealand
MR;Homer Air;Germany
3S;Air Antilles Express;Guadeloupe
8D;Servant Air;United States
F4;International Flying Service;Italy
AJ;Aero Contractors;Nigeria
8Y;China Postal Airlines;China
OT;Aeropelican Air Services;Australia
AD;Azul;Brazil
QD;Dobrolet;Russia
QS;Travel Service;Czech Republic
4Y;Airbus France;France
MC;Air Mobility Command;United States
RE;Aer Arann;Ireland
UU;Air Austral;France
6K;Asian Spirit;Philippines
RK;Royal Khmer Airlines;Cambodia
A5;Airlinair;France
QL;Aero Lanka;Sri Lanka
MV;Armenian International Airways;Armenia
20;Air Salone;Sierra Leone
U8;Armavia;Armenia
BQ;Buquebus Líneas Aéreas;Uruguay
P5;AeroRep;Colombia
BF;Bluebird Cargo;Iceland
5L;Aerosur;Bolivia
EX;Europe Jet;France
JR;Joy Air;China
Z3;Avient Aviation;Zimbabwe
GM;German International Air Lines;Germany
R3;Aircompany Yakutia;Russia
VW;Aeromar;Mexico
JY;Aereonautica militare;Italy
OR;Arkefly;Netherlands
CG;Airlines PNG;Papua New Guinea
TY;Iberworld;Spain
FL;AirTran Airways;United States
TS;Air Transat;Canada
EC;Avialeasing Aviation Company;Uzbekistan
VO;Tyrolean Airways;Austria
DW;Deutsche Luftverkehrsgesellschaft (DLT);Germany
6U;Air Cargo Germany;Germany
2K;Aerolineas Galapagos (Aerogal);Ecuador
6R;Alrosa Mirny Air Enterprise;Russia
8Q;Maldivian Air Taxi;Maldives
BA;British Airways;United Kingdom
BG;Biman Bangladesh Airlines;Bangladesh
B4;Flyglobespan;United Kingdom
BZ;Black Stallion Airways;United States
J4;ALAK;Russia
A8;Benin Golf Air;Benin
4T;Belair Airlines;Switzerland
UP;Bahamasair;Bahamas
E6;Aviaexpresscruise;Russia
LZ;Balkan Bulgarian Airlines;
TH;TransBrasil Airlines;Brazil
BS;British International Helicopters;United Kingdom
PG;Bangkok Airways;Thailand
KF;Blue1;Finland
JV;Bearskin Lake Air Service;Canada
B3;Bellview Airlines;Nigeria
BD;bmi;United Kingdom
WW;bmibaby;United Kingdom
CH;Bemidji Airlines;United States
5Z;VivaColombia;Colombia
BO;Bouraq Indonesia Airlines;Indonesia
BV;Blue Panorama Airlines;Italy
7R;Svyaz Rossiya;Russia
8E;Bering Air;United States
B2;Belavia Belarusian Airlines;Belarus
K6;Cambodia Angkor Air (K6);Cambodia
BN;Horizon Airlines;Australia
GQ;Big Sky Airlines;United States
V9;Star1 Airlines;Lithuania
7P;Metro Batavia;Indonesia
J8;Berjaya Air;Malaysia
QW;Blue Wings;Germany
8W;Private Wings Flugcharter;Germany
DB;Brit Air;France
E9;Compagnie Africaine d\\'Aviation;Congo (Kinshasa)
SN;Brussels Airlines;Belgium
NT;Binter Canarias;Spain
0B;Blue Air;Romania
KJ;British Mediterranean Airways;United Kingdom
FB;Bulgaria Air;Bulgaria
8N;Barents AirLink;Sweden
5C;CAL Cargo Air Lines;Israel
AW;Asian Wings Airways;Burma
XG;Calima Aviacion;Spain
R9;Camai Air;United States
UY;Cameroon Airlines;Cameroon
C6;CanJet;Canada
CP;Compass Airlines;United States
5T;Canadian North;Canada
W2;Maastricht Airlines;Netherlands
9K;Cape Air;United States
PT;Red Jet Andes;Peru
2G;San Juan Airlines;United States
W8;Cargojet Airways;Canada
BW;Caribbean Airlines;Trinidad and Tobago
8B;BusinessAir;Thailand
V3;Carpatair;Romania
RV;Caspian Airlines;Iran
CX;Cathay Pacific;Hong Kong SAR of China
KX;Cayman Airways;Cayman Islands
5J;Cebu Pacific;Philippines
7N;Centavia;Serbia
C0;Centralwings;Poland
J7;Denim Air ;Norway
WE;Thai Smile Airways;Thailand
OP;Air Pegasus;India
MG;Champion Air;United States
2Z;Changan Airlines;China
S8;Snowbird Airlines;Finland
RP;Chautauqua Airlines;United States
C8;Chicago Express (C8);United States
CI;China Airlines;Taiwan
CK;China Cargo Airlines;China
MU;China Eastern Airlines;China
CJ;BA CityFlyer;United Kingdom
WH;China Northwest Airlines (WH);China
CZ;China Southern Airlines;China
HR;Hahn Air;Germany
XO;LTE International Airways;Spain
3Q;Yunnan Airlines;China
X7;Atlantic Air Services;United States
A2;All America;United States
QI;Cimber Air;Denmark
C9;Cirrus Airlines;Germany
CF;City Airline;Sweden
G3;Sky Express;Greece
WX;CityJet;Ireland
CT;Alitalia Cityliner;Italy
6P;Gryphon Airlines;United States
BX;Air Busan;Republic of Korea
DQ;Coastal Air;United States
9L;Colgan Air;United States
OH;Comair;United States
MN;Comair;South Africa
C5;CommutAir;United States
KR;Comores Airlines;Comoros
GJ;Eurofly Service;Italy
DE;Condor Flugdienst;Germany
6A;Consorcio Aviaxsa;Mexico
C3;QatXpress;Qatar
CO;Continental Express;United States
CS;Continental Micronesia;United States
V0;Conviasa;Venezuela
CM;Copa Airlines;Panama
SS;Corsairfly;France
XK;Corse-Mediterranee;France
F5;Fly One;Moldova
OU;Croatia Airlines;Croatia
QE;Crossair Europe;Switzerland
CU;Cubana de Aviación;Cuba
CY;Cyprus Airways;Cyprus
YK;Cyprus Turkish Airlines;Turkey
OK;Czech Airlines;Czech Republic
WD;Amsterdam Airlines;Netherlands
DX;DAT Danish Air Transport;Denmark
ES;EuropeSky;Germany
L3;LTU Austria;Austria
D3;Daallo Airlines;Djibouti
N2;Kabo Air;Nigeria
H8;Dalavia;Russia
0D;Darwin Airline;Switzerland
D5;NEPC Airlines;India
DL;Delta Air Lines;United States
2A;Deutsche Bahn;Germany
1I;Sky Trek International Airlines;United States
D7;AirAsia X;Malaysia
DH;Dennis Sky;Israel
D8;Djibouti Airlines;Djibouti
DO;Dominicana de Aviaci;Dominican Republic
E3;Domodedovo Airlines;Russia
KA;Dragonair;DRAGON
KB;Druk Air;Bhutan
DI;dba;Germany
1C;OneChina;China
BR;EVA Air;Taiwan
H7;Eagle Air;Uganda
QU;East African;Uganda
S9;Starbow Airlines;Ghana
T3;Eastern Airways;United Kingdom
DK;Eastland Air;Australia
MS;Egyptair;Egypt
LY;El Al Israel Airlines;Israel
UZ;El-Buraq Air Transport;Libya
EK;Emirates;United Arab Emirates
EU;Empresa Ecuatoriana De Aviacion;Ecuador
E0;Eos Airlines;United States
B8;Eritrean Airlines;Eritrea
E7;European Aviation Air Charter;United Kingdom
OV;Estonian Air;Estonia
ET;Ethiopian Airlines;Ethiopia
EY;Etihad Airways;United Arab Emirates
RZ;Euro Exec Express;Sweden
UI;Eurocypria Airlines;Cyprus
K2;Eurolot;Poland
3W;Malawian Airlines;Malawi
EA;European Air Express;Germany
QY;Red Jet Canada;Canada
EW;Eurowings;Germany
EZ;Sun Air of Scandinavia;Denmark
JN;Excel Airways;United Kingdom
MB;MNG Airlines;Turkey
OW;Executive Airlines;United States
EO;Hewa Bora Airways;Democratic Republic of the Congo
XE;ExpressJet;United States
U2;United Feeder Service;United States
IH;Falcon Air (IH);Sweden
EF;Far Eastern Air Transport;Taiwan
F6;Faroejet;Faroe Islands
F3;Faso Airways;Burkina Faso
FX;FOX Linhas Aereas;Brazil
N8;National Air Cargo;United States
4S;Vuola Italia;Italy
AY;Finnair;Finland
FC;Finncomm Airlines;Finland
FY;Northwest Regional Airlines;Australia
7F;First Air;Canada
DP;First Choice Airways;United Kingdom
8F;STP Airways;Sao Tome and Principe
B5;Flightline;United Kingdom
PA;Parmiss Airlines (IPV);Iran
RF;Florida West International Airways;United States
F2;Fly Air;Turkey
SH;Sharp Airlines;Australia
TE;FlyLal;Lithuania
LF;FlyNordic;Sweden
F7;Flybaboo;Switzerland
BE;Flybe;United Kingdom
VY;Vueling Airlines;Spain
HK;Yangon Airways;Burma
FP;Freedom Air;United States
F9;Frontier Airlines;United States
2F;Frontier Flying Service;United States
FH;FlyHigh Airlines Ireland (FH);Ireland
GT;GB Airways;United Kingdom
7O;All Colombia;Colombia
1G;Galileo International;United States
GC;Lina Congo;Congo (Brazzaville)
G7;GoJet Airlines;United States
GA;Garuda Indonesia;Indonesia
A9;Georgian Airways;Georgia
QB;Georgian National Airlines;Georgia
ST;Germania;Germany
4U;Germanwings;Germany
GP;Gadair European Airlines;Spain
G0;Ghana International Airlines;Ghana
GK;Genesis;Pakistan
DC;Golden Air;Sweden
G1;Indya Airline Group;India
ZK;Great Lakes Airlines;United States
IJ;Spring Airlines Japan;Japan
TA;Grupo TACA;Costa Rica
G6;Air Volga;Russia
J9;Jazeera Airways;Kuwait
GF;Gulf Air Bahrain;Bahrain
GY;Gabon Airlines;Gabon
H6;Hageland Aviation Services;United States
HU;Hainan Airlines;China
1R;All America CL;Chile
2T;Haiti Ambassador Airlines;Haiti
4R;Hamburg International;Germany
X3;TUIfly;Germany
HF;Hapagfly;Germany
HB;Harbor Airlines;United States
HQ;HQ- Business Express;United States
HA;Hawaiian Airlines;United States
BH;Hawkair;Canada
HN;Hankook Airline;South Korea
8H;Heli France;France
JB;Helijet;Canada
ZU;Helios Airways;Cyprus
T4;Hellas Jet;Greece
HW;North-Wright Airways;Canada
2L;Helvetic Airways;Switzerland
DU;Norwegian Long Haul AS;Norway
UD;Hex'Air;France
5K;Hi Fly (5K);Portugal
HD;Hokkaido International Airlines;Japan
H5;I-Fly;Russia
HX;Hong Kong Airlines;Hong Kong SAR of China
UO;Hong Kong Express Airways;Hong Kong SAR of China
HH;Air Hamburg (AHO);Germany
QX;Horizon Air;United States
H4;Inter Islands Airlines;Cape Verde
II;LSM International ;Russia
1F;CB Airways UK ( Interliging Flights );United Kingdom
1U;Polyot Sirena;Russia
IB;Iberia Airlines;Spain
FW;Ibex Airlines;Japan
FI;Icelandair;Iceland
IK;Lankair;Sri Lanka
6E;IndiGo Airlines;India
IC;Indian Airlines;India
QZ;Indonesia AirAsia;Indonesia
IO;Indonesian Airlines;Indonesia
D6;Interair South Africa;South Africa
RS;Sky Regional;Canada
ID;Interlink Airlines;South Africa
6I;Fly 6ix;Sierra Leone
3L;Intersky;Austria
I4;International AirLink;Jamaica
IR;Iran Air;Iran
EP;Iran Aseman Airlines;Iran
IA;Iraqi Airways;Iraq
IS;Island Airlines;United States
2S;Air Carnival;India
8L;Redhill Aviation;United Kingdom
CN;Canadian National Airways;Canada
IF;Islas Airways;Spain
WC;Islena De Inversiones;Honduras
6H;Israir;Israel
9X;Regionalia Venezuela;Venezuela
GI;Itek Air;Kyrgyzstan
JC;JAL Express;Japan
JO;JALways;Japan
1M;JSC Transport Automated Information Systems;Russia
JL;Japan Airlines Domestic;Japan
EG;Japan Asia Airways;Japan
NU;Japan Transocean Air;Japan
JU;Air Serbia;Serbia
VJ;Royal Air Cambodge;Cambodia
7C;Jeju Air;Republic of Korea
9W;Jet Airways;India
QJ;Jet Airways;United States
0J;Jetclub;Switzerland
3K;Jetstar Asia Airways;Singapore
LS;Jet2.com;United Kingdom
8J;Komiinteravia;Russia
B6;JetBlue Airways;United States
JF;L.A.B. Flying Service;United States
SG;Spicejet;India
JQ;Jetstar Airways;Australia
JX;Jusur airways;Egypt
GX;GermanXL;Germany
R5;Malta Air Charter;Malta
KD;KD Avia;Russia
WA;Western Airlines;United States
KL;KLM Royal Dutch Airlines;Netherlands
K4;Kalitta Air;United States
RQ;Kam Air;Afghanistan
E2;Eagle Atlantic Airlines;Ghana
V2;Vision Airlines (V2);United States
KV;Kavminvodyavia;Russia
M5;Kenmore Air;United States
KQ;Kenya Airways;Kenya
IT;Kingfisher Airlines;India
Y9;Kish Air;Iran
KP;Dense Airways;United States
7K;Kogalymavia Air Company;Russia
KE;Korean Air;Republic of Korea
7B;Krasnojarsky Airlines;Russia
K9;Krylo Airlines;Russia
GW;Kuban Airlines;Russia
KU;Kuwait Airways;Kuwait
GO;Kuzu Airlines Cargo;Turkey
N5;Skagway Air Service;United States
R8;AirRussia;Russia
LR;LACSA;Costa Rica
KG;Royal Airways;United States
LA;LAN Airlines;Chile
4M;LAN Argentina;Argentina
LU;LAN Express;Chile
LP;LAN Peru;Peru
LO;LOT Polish Airlines;Poland
LT;Air Lituanica;Lithuania
N6;Aerocontinente (Priv);Peru
QV;Lao Airlines;Lao Peoples Democratic Republic
L7;Lugansk Airlines;Ukraine
NG;Lauda Air;Austria
LQ;LCM AIRLINES;Russia
LI;Leeward Islands Air Transport;Antigua and Barbuda
LN;Libyan Arab Airlines;Libya
8z;Linea Aerea de Servicio Ejecutivo Regional;Venezuela
LM;Livingston;Italy
JT;Lion Mentari Airlines;Indonesia
LB;Air Costa;India
HE;Luftfahrtgesellschaft Walter;Germany
LH;Lufthansa Cargo;Germany
CL;Lufthansa CityLine;Germany
L1;All Argentina;Argentina
DV;Scat Air;Kazakhstan
L5;Lufttransport;Norway
LG;Luxair;Luxembourg
5V;Lviv Airlines;Ukraine
L2;Lynden Air Cargo;United States
MJ;L;Argentina
M7;Tropical Airways;Haiti
IN;MAT Macedonian Airlines;Macedonia
OM;MIAT Mongolian Airlines;Mongolia
DM;Maersk;Denmark
W5;Mahan Air;Iran
M2;MHS Aviation GmbH;Germany
MH;Malaysia Airlines;Malaysia
TF;Malmö Aviation;Sweden
MA;Malév;Hungary
RI;Mandala Airlines;Indonesia
AE;Mandarin Airlines;Taiwan
JE;Mango;South Africa
MP;Martinair;Netherlands
Q4;SOCHI AIR EXPRESS;Russia
8M;Myanmar Airways International;Myanmar
MY;Midwest Airlines (Egypt);Egypt
MW;Maya Island Air;Belize
IM;Menajet;Lebanon
IG;Meridiana;Italy
MZ;Merpati Nusantara Airlines;Indonesia
YV;Mesa Airlines;United States
XJ;Mesaba Airlines;United States
MX;Mexicana de Aviaci;Mexico
ME;Middle East Airlines;Lebanon
JI;Midway Airlines;United States
YX;Midwest Airlines;United States
2M;Moldavian Airlines;Moldova
8I;Myway Airlines;Italy
YM;Montenegro Airlines;Montenegro
3R;Moskovia Airlines;Russia
M9;Motor Sich;Ukraine
N4;Regionalia México;Mexico
VZ;MyTravel Airways;United Kingdom
UB;Myanma Airways;Myanmar
P9;Peruvian Airlines;Peru
UE;Transeuropean Airlines;Russia
N7;All Spain;Spain
NA;Al-Naser Airlines;Iraq
9O;National Airways Cameroon;Cameroon
NC;Northern Air Cargo;United States
CE;Nationwide Airlines;South Africa
ON;Our Airline;Nauru
1N;Navitaire;United States
RA;Royal Nepal Airlines;Nepal
EJ;New England Airlines;United States
2N;NextJet;Sweden
HG;Niki;Austria
KZ;Dense Connection;United States
DD;Nok Air;Thailand
JH;Fuji Dream Airlines;Japan
6N;Nordic Regional;Sweden
N9;All Europe;United Kingdom
U7;USA Jet Airlines;United States
NW;Northwest Airlines;United States
J3;Northwestern Air;Canada
DY;Norwegian Air Shuttle;Norway
BJ;Nouvel Air Tunisie;Tunisia
M4;Marysya Airlines;Russia
XY;Nas Air;Saudi Arabia
UQ;Skyjet Airlines;Uganda
CR;Air Ops;Sweden
O8;Oasis Hong Kong Airlines;Hong Kong
VC;Strategic Airlines;Australia
O6;Oceanair;Brazil
O2;Oceanic Airlines;Guinea
OA;Olympic Airlines;Greece
WY;Oman Air;Oman
OY;Omni Air International;United States
N3;Omskavia Airline;Russia
R2;Orenburg Airlines;Russia
OX;Orient Thai Airlines;Thailand
OL;Ostfriesische Lufttransport;Germany
OJ;Overland Airways;Nigeria
O7;Ozjet Airlines;Australia
PV;PAN Air;Spain
9Q;PB Air;Thailand
PU;PLUNA;Uruguay
U4;PMTair;Cambodia
Y5;Asia Wings;Kazakhstan
BL;Jetstar Pacific;Vietnam
DJ;Virgin Blue;Australia
8P;Pacific Coastal Airline;Canada
Q8;Pacific East Asia Cargo Airlines;Philippines
PS;Ukraine International Airlines;Ukraine
LW;Pacific Wings;United States
PK;Pakistan International Airlines;Pakistan
PF;Primera Air;Iceland
NR;Jettor Airlines;Hong Kong
PQ;LSM Airlines;Russia
P8;Air Mekong;Vietnam
I7;Paramount Airways;India
KS;Peninsula Airways;United States
PR;Philippine Airlines;Philippines
9R;SATENA;Colombia
PI;Sun Air (Fiji);Fiji
9E;Pinnacle Airlines;United States
PO;FlyPortugal;Portugal
PH;Polynesian Airlines;Samoa
PD;Porter Airlines;Canada
NI;Portugalia;Portugal
BK;Potomac Air;United States
PW;Precision Air;Tanzania
TO;Transavia France;France
FE;Primaris Airlines;United States
P0;Proflight Commuter Services;Zambia
QF;Qantas;Australia
QR;Qatar Airways;Qatar
R6;RACSA;Guatemala
1D;Radixx Solutions International;United States
V4;Reem Air;Kyrgyzstan
FN;Regional Airlines;Morocco
ZL;Regional Express;Australia
3C;RegionsAir;United States
RW;Republic Airlines;United States
RH;Republic Express Airlines;Indonesia
C7;Sky Wing Pacific;South Korea
SL;Thai Lion Air;Thailand
R4;Rossiya;Russia
GZ;Air Rarotonga;Cook Islands
RR;REXAIR VIRTUEL;France
AT;Royal Air Maroc;Morocco
R0;Royal Airlines;Pakistan
BI;Royal Brunei Airlines;Brunei
RJ;Royal Jordanian;Jordan
WR;WestJet Encore;Canada
P7;Regional Paraguaya;Paraguay
WB;Rwandair Express;Rwanda
RD;Ryan International Airlines;United States
FR;Ryanair;Ireland
YS;Régional;France
S4;SATA International;Portugal
SA;South African Airways;South Africa
NL;Shaheen Air International;Pakistan
SK;Scandinavian Airlines System;Sweden
S7;S7 Airlines;Russia
BB;Seaborne Airlines;United States
UL;SriLankan Airlines;Sri Lanka
SY;Sun Country Airlines;United States
I6;MexicanaLink;Mexico
7G;Star Flyer;Japan
FA;Epic Holiday;United States
SP;SATA Air Acores;Portugal
8S;Scorpio Aviation;
SQ;Singapore Airlines Cargo;Singapore
5M;Sibaviatrans;Russia
SI;Skynet Airlines;Ireland
XS;Texas Spirit;United States
SJ;Sriwijaya Air;Indonesia
ZS;Sama Airlines;Saudi Arabia
FT;Siem Reap Airways;Cambodia
SX;SkyWork Airlines ;Switzerland
SM;Spirit of Manila Airlines;Philippines
DG;South East Asian Airlines;Philippines
5G;Skyservice Airlines;Canada
FS;Servicios de Transportes A;Argentina
SD;Sudan Airways;Sudan
SV;Saudi Arabian Airlines;Saudi Arabia
WN;Southwest Airlines;United States
A4;Southern Winds Airlines;Argentina
WG;Sunwing;Canada
LX;Swiss International Air Lines;Switzerland
SR;Swissair;Switzerland
WV;Swe Fly;Sweden
XQ;SunExpress;Turkey
AL;Transaviaexport;Belarus
ZP;Zabaykalskii Airlines;Russia
E5;Air Arabia Egypt;Egypt
SC;Shandong Airlines;China
9S;Spring Airlines;China
3U;Sichuan Airlines;China
FM;Shanghai Airlines;China
ZH;Shenzhen Airlines;China
7L;Sun D'Or;Israel
NE;SkyEurope;Slovakia
CQ;SOCHI AIR;Russia
SO;Salsa d\\'Haiti;Haiti
JK;Spanair;Spain
1Z;Sabre Pacific;Australia
1S;Sabre;United States
1H;Hellenic Airways;Greece
1Q;Sirena;Russia
1K;BudgetAir;Germany
2C;SNCF;France
NK;Spirit Airlines;United States
S0;Spike Airlines;United States
S3;Santa Barbara Airlines;Venezuela
H2;Sky Airline;Chile
OO;SkyWest;United States
JZ;Skyways Express;Sweden
BC;Skymark Airlines;Japan
LJ;Jin Air;South Korea
MI;SilkAir;Singapore
6Q;Slovak Airlines;Slovakia
PY;Surinam Airways;Suriname
NB;Sterling Airlines;Denmark
6J;Skynet Asia Airways;Japan
IE;Solomon Airlines;Solomon Islands
6W;Saratov Aviation Division;Russia
HZ;Sat Airlines;Kazakhstan
S5;Trast Aero;Kyrgyzstan
R1;Royal Southern Airlines.;Colombia
S6;Salmon Air;United States
EQ;TAME;Ecuador
JJ;TAM Brazilian Airlines;Brazil
TP;TAP Portugal;Portugal
TU;Tunisair;Tunisia
3V;3 Valleys Airlines;France
T2;Thai Air Cargo;Thailand
FQ;Thomas Cook Airlines;Belgium
MT;Thomas Cook Airlines;United Kingdom
TQ;Texas Wings;United States
L9;All Asia;China
ZT;Tomp Airlines;Chile
TR;Tiger Airways;Singapore
TG;Thai Airways International;Thailand
FD;Thai AirAsia;Thailand
TK;Turkish Airlines;Turkey
T7;Twin Jet;France
9I;International Europe;Spain
3P;Tiara Air;Aruba
TI;TransHolding;Brazil
BY;Thomsonfly;United Kingdom
PM;Tropic Air;Belize
QT;TAMPA;Colombia
GE;TransAsia Airways;Taiwan
HV;Transavia Holland;Netherlands
VR;TACV;Portugal
T9;Thai Star Airlines;Thailand
9T;Transwest Air;Canada
UN;Transaero Airlines;Russia
T5;Turkmenistan Airlines;Turkmenistan
UG;Tuninter;Tunisia
T6;Trans Pas Air;United States
TW;Tway Airlines;South Korea
6B;TUIfly Nordic;Sweden
DT;TAAG Angola Airlines;Angola
SF;Air Charter International;France
PZ;TAM Mercosur;Paraguay
AX;Trans States Airlines;United States
1E;TransRussiaAirlines;Russia
2H;Thalys;Belgium
1L;Open Skies Consultative Commission;United States
RO;Tarom;Romania
